"id","implementation","method","endpoint","domain","auth_permission","current_consumer","candidate_action","replacement_or_guard","risk","phase0_status"
"API-001","NestJS","GET","/api/v1/categories","catalog","public","Customer product filters/home","REMOVE_CANDIDATE","Keep service-categories endpoint; verify CMS taxonomy is separate","HIGH","INVENTORIED_ONLY"
"API-002","NestJS","GET","/api/v1/brands","catalog","public","Customer product filters","REMOVE_CANDIDATE","If brands remain useful for customer devices, create service-device brand taxonomy first","HIGH","INVENTORIED_ONLY"
"API-003","NestJS","GET","/api/v1/products","product","public","/products, home product grids, SEO","REMOVE_CANDIDATE","Replace route with service catalog/410 only after redirects and sitemap update","CRITICAL","INVENTORIED_ONLY"
"API-004","NestJS","GET","/api/v1/products/search","product","public","Product search","REMOVE_CANDIDATE","Replace global search scope with service/article search","HIGH","INVENTORIED_ONLY"
"API-005","NestJS","GET","/api/v1/products/featured","product","public","Homepage featured products","REMOVE_CANDIDATE","Replace section with featured services/cases","HIGH","INVENTORIED_ONLY"
"API-006","NestJS","GET","/api/v1/products/:identifier","product","public","/products/:id and product SEO","REMOVE_CANDIDATE","Redirect known product slugs or return planned 410","CRITICAL","INVENTORIED_ONLY"
"API-007","NestJS","POST","/api/v1/products","product-admin","products.manage","Legacy/admin create alias","REMOVE_CANDIDATE","Disable writes before schema removal","CRITICAL","INVENTORIED_ONLY"
"API-008","NestJS","PATCH","/api/v1/products/:id","product-admin","products.manage","Legacy/admin update alias","REMOVE_CANDIDATE","Preserve audit history and dangerous-action evidence","CRITICAL","INVENTORIED_ONLY"
"API-009","NestJS","DELETE","/api/v1/products/:id","product-admin","products.manage + SUPERADMIN","Legacy soft delete alias","REMOVE_CANDIDATE","Keep audit log records even after endpoint removal","HIGH","INVENTORIED_ONLY"
"API-010","NestJS","GET","/api/v1/admin/products","product-admin","products.view","Admin /products","REMOVE_CANDIDATE","Remove menu/route/permission in same staged release","CRITICAL","INVENTORIED_ONLY"
"API-011","NestJS","GET","/api/v1/admin/products/:identifier","product-admin","products.view","Admin product detail/form","REMOVE_CANDIDATE","Archive/export before removal","HIGH","INVENTORIED_ONLY"
"API-012","NestJS","POST","/api/v1/admin/products","product-admin","products.manage","Admin product create","REMOVE_CANDIDATE","Disable product writes first","CRITICAL","INVENTORIED_ONLY"
"API-013","NestJS","PATCH","/api/v1/admin/products/:id","product-admin","products.manage","Admin product edit","REMOVE_CANDIDATE","Disable product writes first","CRITICAL","INVENTORIED_ONLY"
